Temperature,EC,PH,DO,Score
4.6,232,8.2,10.3,-9.73
6.4,256,8.2,9.7,-8.29
6.8,267,8.1,10,-8.53
6.8,231,8.1,10.6,-9.77
6.9,244,8,9.8,16.19
6.9,271,8.36,9.8,-8.6
7,225,8.1,9.6,-8
7.1,252,8.3,9.8,-8.53
7.1,258,8.4,9.9,-8.86
7.2,238,8,9.3,17.46
7.2,235,8.1,9.7,-8.09
7.3,283,8.07,9.8,-8.05
7.5,270,8.31,9.7,-8.27
7.7,270,8.05,9.6,-7.75
7.7,231,8.1,9.8,-8.19
7.8,263,8.1,8.8,-7.6
7.8,253,8.2,9.6,-7.97
7.8,301,8.3,10.8,-10.11
7.9,228,7.3,10.3,15.05
8.1,270,8,9.7,16.82
8.3,242,8.1,10.4,-9.11
8.5,316,8.2,9.5,-7.64
8.5,262,8.1,9.5,-7.65
8.5,254,8.34,9.6,-8.09
8.7,264,8.14,9.4,-7.58
8.7,273,8.06,9.7,-7.78
8.7,258,8.3,9.7,-8.14
8.8,274,8,9.4,17.71
8.8,287,8,9.7,17.05
8.8,251,8.25,9.5,-7.81
9,242,8.1,9.4,-7.56
9.3,257,8.1,9.2,-7.46
9.3,225,8.2,10.5,-9.39
9.4,237,8.2,9.4,-7.62
9.5,266,8.1,9.1,-7.48
9.5,259,8.2,9.5,-7.67
9.7,210,7.93,9.2,18.05
9.7,224,8.05,9.4,-7.51
9.7,261,8.2,8.9,-7.56
9.7,250,8.2,9.5,-7.67
9.8,183,7.8,9.6,16.99
9.8,285,8.3,9.1,-7.46
9.8,252,8.2,9.4,-7.57
9.8,295,8.37,9.4,-7.64
9.9,254,8.2,9.3,-7.5
10,278,7.3,10.6,14.99
10,290,8.34,9,-7.47
10.1,201,8.03,9.4,-7.51
10.1,249,8.19,9.5,-7.63
10.1,236,8.3,9.5,-7.77
10.2,215,8.2,9.5,-7.7
10.3,268,8.36,8.8,-7.56
10.3,264,8.35,9.5,-7.75
10.3,454,8.4,11.1,-9.89
10.4,237,8.1,9.2,-7.46
10.4,267,8.28,8.9,-7.55
10.5,222,8.1,9.2,-7.46
10.5,274,8.38,9.3,-7.55
10.5,238,8.2,8.9,-7.58
10.6,660,7.5,10.6,41.63
10.6,228,7.8,9.3,18.07
10.6,641,8.26,11.6,15.58
10.6,275,8.08,9.3,-7.46
10.6,468,8.38,11.4,-10.33
10.7,297,8.3,9.3,-7.48
10.8,256,8.06,9.1,-7.58
10.9,214,8,9,18.69
10.9,273,8.3,9.1,-7.46
10.9,273,8.29,9.3,-7.49
10.9,256,8.4,9.4,-7.66
10.9,257,8.1,10.6,-9.02
10.9,419,8.3,11,-9.54
11,341,8.2,11.3,-10.21
11,424,8.35,12.2,-11.89
11.1,353,7.3,8.9,19.27
11.1,258,8.1,9.3,-7.46
11.2,358,7.5,9.5,18.31
11.2,438,8.4,10.6,-8.86
