Temperature,EC,PH,Salinity,DO
20.1,0.53,7.5,0.34,6.8
21.3,0.74,7.6,0.47,7
23.2,0.66,7.8,0.42,7.9
20.2,0.54,7.8,0.34,8
23.8,0.58,7.8,0.37,7.4
22.4,0.59,7.9,0.38,7.2
19,0.6,8,0.38,7.9
21.3,0.7,7.9,0.45,6.6
22.9,0.66,7.7,0.42,8
21.7,1.22,8,0.78,7.4
21.3,0.81,7.9,0.52,7.6
23.1,0.8,7.8,0.51,8
21.8,1.1,7.8,0.7,7.3
23.9,0.64,7.9,0.41,7.1
21.9,0.51,8,0.33,7.8
23,0.61,8,0.39,7.8
23.2,0.52,7.9,0.33,7.4
22.3,0.62,7,0.39,6.6
20.8,1.04,7.7,0.67,6.6
24.1,0.52,7.5,0.33,7.2
24.3,0.77,8,0.49,7
22.3,0.51,8,0.33,8
24.4,0.61,7.3,0.39,6.9
24.6,1.13,7.3,0.72,6.9
22.7,0.57,7.5,0.36,7.8
24.1,0.7,7.5,0.45,6.9
24,0.55,7.5,0.35,7.2
24.4,0.72,7.4,0.46,7.1
24.4,0.66,7.4,0.42,8
23.9,0.62,7.4,0.39,7.3
24.7,0.52,7.6,0.33,6.8
24.5,0.59,7.8,0.38,8
22.8,0.54,7.8,0.35,6.9
23.3,0.84,7.9,0.54,7.8
22.3,0.92,7.4,0.59,7.2
20.4,0.63,7.8,0.4,6.6
23.5,0.51,7.5,0.33,7.4
24.5,0.52,7.7,0.33,8
21.6,0.56,7.9,0.36,7.1
24.1,0.68,7.8,0.43,7.8
22.7,0.56,8,0.36,7.8
17.5,0.63,7.7,0.41,7.2
20.7,0.92,7.4,0.59,6.7
19.9,0.59,7.3,0.38,7.1
18.1,1.14,7.3,0.73,6.8
19.9,1.3,7.3,0.83,7.5
20.1,0.56,7.7,0.36,7.8
16.6,0.7,7.8,0.45,8
22.7,0.51,7.7,0.33,6.6
21.3,0.69,7.8,0.44,7.5
19,0.62,7.8,0.39,6.8
22.1,0.88,7.7,0.57,6.5
20.3,1.25,7.9,0.8,8
21.6,0.65,7.9,0.41,7.9
22.7,0.64,7.6,0.41,6.6
14.7,0.87,7.4,0.56,7.6
13.7,0.56,7.8,0.36,7.6
13.3,0.53,7.7,0.34,7.6
14.7,0.63,7.5,0.4,6.9
15.5,0.69,7.8,0.44,6.6
17.7,0.62,7.9,0.4,8
13.6,0.82,7.8,0.52,6.9
18.4,0.74,7.8,0.48,7.4
19.6,0.57,7.6,0.37,8
14.6,1.11,7.9,0.71,6.8
14.5,0.97,7.7,0.62,7.1
16,0.78,7.8,0.5,7.7
15.2,0.53,7.7,0.34,6.9
22,0.52,7.8,0.33,6.6
18,0.5,7.7,0.32,7.5
18.1,0.52,7.9,0.34,6.9
22.4,0.65,7.6,0.42,6.9
18.3,1.16,7.7,0.74,6.5
15.2,0.72,7.4,0.46,6.9
16.3,0.55,7.3,0.35,7.1
18.7,0.9,7.4,0.57,6.6
15.1,1.38,7.5,0.88,6.6
16,0.9,7.4,0.58,7.7
15,0.57,7.5,0.37,6.6
13.6,0.59,7.7,0.38,7.2
20.7,1.06,7.7,0.68,7.6
15,0.52,7.7,0.33,7.1
16.9,0.6,7.8,0.38,8
14.7,0.58,7.8,0.37,7.8
23,0.68,7.4,0.43,7.6
24.3,0.63,7.7,0.4,6.5
19.8,0.66,7.6,0.42,7.8
18.5,0.77,7.7,0.49,6.9
16.6,0.65,7.7,0.41,8
23,0.69,7.8,0.44,7
24.5,0.51,7.5,0.33,7.6
22.1,0.56,7.9,0.36,6.6
24.2,0.81,7.9,0.52,8
21.5,1.2,7.4,0.77,6.5
20.5,0.88,7.5,0.56,7.1
18.5,0.57,7.7,0.36,6.6
18.8,0.56,7.6,0.36,7
